id,subject_id,task,trial_session,trial,label
213,S3,MI,6,3,Right
214,S3,MI,6,4,Left
215,S3,MI,6,5,Left
216,S3,MI,6,6,Right
217,S3,MI,6,7,Left
218,S3,MI,6,8,Left
219,S3,MI,6,9,Left
220,S3,MI,6,10,Left
221,S3,MI,7,1,Right
222,S3,MI,7,2,Right
223,S3,MI,7,3,Right
224,S3,MI,7,4,Left
225,S3,MI,7,5,Left
226,S3,MI,7,6,Right
227,S3,MI,7,7,Right
228,S3,MI,7,8,Right
229,S3,MI,7,9,Right
230,S3,MI,7,10,Right
231,S3,MI,8,1,Left
232,S3,MI,8,2,Right
233,S3,MI,8,3,Right
234,S3,MI,8,4,Left
235,S3,MI,8,5,Left
236,S3,MI,8,6,Right
237,S3,MI,8,7,Left
238,S3,MI,8,8,Right
239,S3,MI,8,9,Left
240,S3,MI,8,10,Left
241,S4,MI,1,1,Right
242,S4,MI,1,2,Right
243,S4,MI,1,3,Left
244,S4,MI,1,4,Right
245,S4,MI,1,5,Left
246,S4,MI,1,6,Left
247,S4,MI,1,7,Right
248,S4,MI,1,8,Right
249,S4,MI,1,9,Right
250,S4,MI,1,10,Right
251,S4,MI,2,1,Left
252,S4,MI,2,2,Right
253,S4,MI,2,3,Left
254,S4,MI,2,4,Right
255,S4,MI,2,5,Right
256,S4,MI,2,6,Right
257,S4,MI,2,7,Left
258,S4,MI,2,8,Left
259,S4,MI,2,9,Right
260,S4,MI,2,10,Right
261,S4,MI,3,1,Left
262,S4,MI,3,2,Left
263,S4,MI,3,3,Left
264,S4,MI,3,4,Left
265,S4,MI,3,5,Right
266,S4,MI,3,6,Left
267,S4,MI,3,7,Left
268,S4,MI,3,8,Left
269,S4,MI,3,9,Left
270,S4,MI,3,10,Right
271,S4,MI,4,1,Left
272,S4,MI,4,2,Right
273,S4,MI,4,3,Right
274,S4,MI,4,4,Right
275,S4,MI,4,5,Left
276,S4,MI,4,6,Right
277,S4,MI,4,7,Left
278,S4,MI,4,8,Left
279,S4,MI,4,9,Left
280,S4,MI,4,10,Left
281,S4,MI,5,1,Left
282,S4,MI,5,2,Right
283,S4,MI,5,3,Right
284,S4,MI,5,4,Right
285,S4,MI,5,5,Right
286,S4,MI,5,6,Right
287,S4,MI,5,7,Right
288,S4,MI,5,8,Right
289,S4,MI,5,9,Left
290,S4,MI,5,10,Left
291,S4,MI,6,1,Right
292,S4,MI,6,2,Left
293,S4,MI,6,3,Left
294,S4,MI,6,4,Right
295,S4,MI,6,5,Right
296,S4,MI,6,6,Left
297,S4,MI,6,7,Left
298,S4,MI,6,8,Left
299,S4,MI,6,9,Right
300,S4,MI,6,10,Right
301,S4,MI,7,1,Right
302,S4,MI,7,2,Right
303,S4,MI,7,3,Right
304,S4,MI,7,4,Left
305,S4,MI,7,5,Right
306,S4,MI,7,6,Left
307,S4,MI,7,7,Right
308,S4,MI,7,8,Right
309,S4,MI,7,9,Right
310,S4,MI,7,10,Left
311,S4,MI,8,1,Right
312,S4,MI,8,2,Left
313,S4,MI,8,3,Right
314,S4,MI,8,4,Left
315,S4,MI,8,5,Left
316,S4,MI,8,6,Left
317,S4,MI,8,7,Left
318,S4,MI,8,8,Left
319,S4,MI,8,9,Right
320,S4,MI,8,10,Left
321,S5,MI,1,1,Right
322,S5,MI,1,2,Left
323,S5,MI,1,3,Right
324,S5,MI,1,4,Left
325,S5,MI,1,5,Right
326,S5,MI,1,6,Right
327,S5,MI,1,7,Left
328,S5,MI,1,8,Right
329,S5,MI,1,9,Right
330,S5,MI,1,10,Left
331,S5,MI,2,1,Right
332,S5,MI,2,2,Left
333,S5,MI,2,3,Right
334,S5,MI,2,4,Left
335,S5,MI,2,5,Left
336,S5,MI,2,6,Left
337,S5,MI,2,7,Left
338,S5,MI,2,8,Left
339,S5,MI,2,9,Left
340,S5,MI,2,10,Left
341,S5,MI,3,1,Right
342,S5,MI,3,2,Left
343,S5,MI,3,3,Left
344,S5,MI,3,4,Left
345,S5,MI,3,5,Right
346,S5,MI,3,6,Right
347,S5,MI,3,7,Left
348,S5,MI,3,8,Right
349,S5,MI,3,9,Right
350,S5,MI,3,10,Left
351,S5,MI,4,1,Right
352,S5,MI,4,2,Right
353,S5,MI,4,3,Right
354,S5,MI,4,4,Right
355,S5,MI,4,5,Right
356,S5,MI,4,6,Left
357,S5,MI,4,7,Left
358,S5,MI,4,8,Right
359,S5,MI,4,9,Left
360,S5,MI,4,10,Left
361,S5,MI,5,1,Left
362,S5,MI,5,2,Left
363,S5,MI,5,3,Left
364,S5,MI,5,4,Right
365,S5,MI,5,5,Left
366,S5,MI,5,6,Left
367,S5,MI,5,7,Right
368,S5,MI,5,8,Right
369,S5,MI,5,9,Right
370,S5,MI,5,10,Right
371,S5,MI,6,1,Left
372,S5,MI,6,2,Right
373,S5,MI,6,3,Right
374,S5,MI,6,4,Left
375,S5,MI,6,5,Left
376,S5,MI,6,6,Left
377,S5,MI,6,7,Left
378,S5,MI,6,8,Left
379,S5,MI,6,9,Left
380,S5,MI,6,10,Right
381,S5,MI,7,1,Left
382,S5,MI,7,2,Left
383,S5,MI,7,3,Left
384,S5,MI,7,4,Right
385,S5,MI,7,5,Left
386,S5,MI,7,6,Left
387,S5,MI,7,7,Left
388,S5,MI,7,8,Right
389,S5,MI,7,9,Right
390,S5,MI,7,10,Right
391,S5,MI,8,1,Right
392,S5,MI,8,2,Right
393,S5,MI,8,3,Left
394,S5,MI,8,4,Left
395,S5,MI,8,5,Left
396,S5,MI,8,6,Left
397,S5,MI,8,7,Left
398,S5,MI,8,8,Right
399,S5,MI,8,9,Right
400,S5,MI,8,10,Right
401,S6,MI,1,1,Left
402,S6,MI,1,2,Right
403,S6,MI,1,3,Right
404,S6,MI,1,4,Left
405,S6,MI,1,5,Left
406,S6,MI,1,6,Left
407,S6,MI,1,7,Right
408,S6,MI,1,8,Right
409,S6,MI,1,9,Left
410,S6,MI,1,10,Left
411,S6,MI,2,1,Left
412,S6,MI,2,2,Left
413,S6,MI,2,3,Right
414,S6,MI,2,4,Left
415,S6,MI,2,5,Left
416,S6,MI,2,6,Right
417,S6,MI,2,7,Left
418,S6,MI,2,8,Left
419,S6,MI,2,9,Left
420,S6,MI,2,10,Right
421,S6,MI,3,1,Right
422,S6,MI,3,2,Left
423,S6,MI,3,3,Left
424,S6,MI,3,4,Right
425,S6,MI,3,5,Left
426,S6,MI,3,6,Right
427,S6,MI,3,7,Left
428,S6,MI,3,8,Left
429,S6,MI,3,9,Left
430,S6,MI,3,10,Right
431,S6,MI,4,1,Right
432,S6,MI,4,2,Right
433,S6,MI,4,3,Right
434,S6,MI,4,4,Right
435,S6,MI,4,5,Left
436,S6,MI,4,6,Left
437,S6,MI,4,7,Right
438,S6,MI,4,8,Left
439,S6,MI,4,9,Left
440,S6,MI,4,10,Left
441,S6,MI,5,1,Right
442,S6,MI,5,2,Left
443,S6,MI,5,3,Right
444,S6,MI,5,4,Right
445,S6,MI,5,5,Right
446,S6,MI,5,6,Left
447,S6,MI,5,7,Left
448,S6,MI,5,8,Left
449,S6,MI,5,9,Left
450,S6,MI,5,10,Right
451,S6,MI,6,1,Right
452,S6,MI,6,2,Right
453,S6,MI,6,3,Left
454,S6,MI,6,4,Right
455,S6,MI,6,5,Left
456,S6,MI,6,6,Left
457,S6,MI,6,7,Right
458,S6,MI,6,8,Right
459,S6,MI,6,9,Right
460,S6,MI,6,10,Left
461,S6,MI,7,1,Right
462,S6,MI,7,2,Right
463,S6,MI,7,3,Right
464,S6,MI,7,4,Right
465,S6,MI,7,5,Right
466,S6,MI,7,6,Right
467,S6,MI,7,7,Right
468,S6,MI,7,8,Right
469,S6,MI,7,9,Left
470,S6,MI,7,10,Left
471,S6,MI,8,1,Left
472,S6,MI,8,2,Right
473,S6,MI,8,3,Right
474,S6,MI,8,4,Right
475,S6,MI,8,5,Left
476,S6,MI,8,6,Left
477,S6,MI,8,7,Left
478,S6,MI,8,8,Right
479,S6,MI,8,9,Right
480,S6,MI,8,10,Left
481,S7,MI,1,1,Right
482,S7,MI,1,2,Left
483,S7,MI,1,3,Left
484,S7,MI,1,4,Right
485,S7,MI,1,5,Right
486,S7,MI,1,6,Left
487,S7,MI,1,7,Right
488,S7,MI,1,8,Right
489,S7,MI,1,9,Left
490,S7,MI,1,10,Left
491,S7,MI,2,1,Right
492,S7,MI,2,2,Left
493,S7,MI,2,3,Left
494,S7,MI,2,4,Left
495,S7,MI,2,5,Right
496,S7,MI,2,6,Left
497,S7,MI,2,7,Right
498,S7,MI,2,8,Left
499,S7,MI,2,9,Left
500,S7,MI,2,10,Right
501,S7,MI,3,1,Right
502,S7,MI,3,2,Left
503,S7,MI,3,3,Left
504,S7,MI,3,4,Left
505,S7,MI,3,5,Left
506,S7,MI,3,6,Left
507,S7,MI,3,7,Left
508,S7,MI,3,8,Left
509,S7,MI,3,9,Left
510,S7,MI,3,10,Left
511,S7,MI,4,1,Right
512,S7,MI,4,2,Left
513,S7,MI,4,3,Left
514,S7,MI,4,4,Right
515,S7,MI,4,5,Left
516,S7,MI,4,6,Right
517,S7,MI,4,7,Right
518,S7,MI,4,8,Right
519,S7,MI,4,9,Left
520,S7,MI,4,10,Right
521,S7,MI,5,1,Left
522,S7,MI,5,2,Left
523,S7,MI,5,3,Left
524,S7,MI,5,4,Right
525,S7,MI,5,5,Left
526,S7,MI,5,6,Left
527,S7,MI,5,7,Left
528,S7,MI,5,8,Right
529,S7,MI,5,9,Left
530,S7,MI,5,10,Left
531,S7,MI,6,1,Left
532,S7,MI,6,2,Left
533,S7,MI,6,3,Left
534,S7,MI,6,4,Left
535,S7,MI,6,5,Left
536,S7,MI,6,6,Right
537,S7,MI,6,7,Right
538,S7,MI,6,8,Right
539,S7,MI,6,9,Right
540,S7,MI,6,10,Left
541,S7,MI,7,1,Left
542,S7,MI,7,2,Left
543,S7,MI,7,3,Right
544,S7,MI,7,4,Left
545,S7,MI,7,5,Left
546,S7,MI,7,6,Left
547,S7,MI,7,7,Right
548,S7,MI,7,8,Left
549,S7,MI,7,9,Right
550,S7,MI,7,10,Right
551,S7,MI,8,1,Left
552,S7,MI,8,2,Left
553,S7,MI,8,3,Right
554,S7,MI,8,4,Left
555,S7,MI,8,5,Right
556,S7,MI,8,6,Right
557,S7,MI,8,7,Right
558,S7,MI,8,8,Left
559,S7,MI,8,9,Right
560,S7,MI,8,10,Left
561,S8,MI,1,1,Left
562,S8,MI,1,2,Left
563,S8,MI,1,3,Left
564,S8,MI,1,4,Right
565,S8,MI,1,5,Left
566,S8,MI,1,6,Right
567,S8,MI,1,7,Left
568,S8,MI,1,8,Left
569,S8,MI,1,9,Left
570,S8,MI,1,10,Right
571,S8,MI,2,1,Left
572,S8,MI,2,2,Left
573,S8,MI,2,3,Left
574,S8,MI,2,4,Right
575,S8,MI,2,5,Right
576,S8,MI,2,6,Right
577,S8,MI,2,7,Left
578,S8,MI,2,8,Left
579,S8,MI,2,9,Right
580,S8,MI,2,10,Right
581,S8,MI,3,1,Left
582,S8,MI,3,2,Right
583,S8,MI,3,3,Right
584,S8,MI,3,4,Right
585,S8,MI,3,5,Left
586,S8,MI,3,6,Right
587,S8,MI,3,7,Right
588,S8,MI,3,8,Left
589,S8,MI,3,9,Left
590,S8,MI,3,10,Right
591,S8,MI,4,1,Right
592,S8,MI,4,2,Left
593,S8,MI,4,3,Left
594,S8,MI,4,4,Left
595,S8,MI,4,5,Left
596,S8,MI,4,6,Right
597,S8,MI,4,7,Right
598,S8,MI,4,8,Left
599,S8,MI,4,9,Left
600,S8,MI,4,10,Right
601,S8,MI,5,1,Left
602,S8,MI,5,2,Left
603,S8,MI,5,3,Right
604,S8,MI,5,4,Right
605,S8,MI,5,5,Right
606,S8,MI,5,6,Left
607,S8,MI,5,7,Right
608,S8,MI,5,8,Left
609,S8,MI,5,9,Right
610,S8,MI,5,10,Right
611,S8,MI,6,1,Left
612,S8,MI,6,2,Left
613,S8,MI,6,3,Left
614,S8,MI,6,4,Right
615,S8,MI,6,5,Right
616,S8,MI,6,6,Left
617,S8,MI,6,7,Right
618,S8,MI,6,8,Left
619,S8,MI,6,9,Right
620,S8,MI,6,10,Right
621,S8,MI,7,1,Left
622,S8,MI,7,2,Right
623,S8,MI,7,3,Right
624,S8,MI,7,4,Right
625,S8,MI,7,5,Left
626,S8,MI,7,6,Right
627,S8,MI,7,7,Left
628,S8,MI,7,8,Right
629,S8,MI,7,9,Left
630,S8,MI,7,10,Right
631,S8,MI,8,1,Left
632,S8,MI,8,2,Right
633,S8,MI,8,3,Left
634,S8,MI,8,4,Right
635,S8,MI,8,5,Left
636,S8,MI,8,6,Right
637,S8,MI,8,7,Left
638,S8,MI,8,8,Left
639,S8,MI,8,9,Right
640,S8,MI,8,10,Right
641,S9,MI,1,1,Right
642,S9,MI,1,2,Left
643,S9,MI,1,3,Left
644,S9,MI,1,4,Right
645,S9,MI,1,5,Left
646,S9,MI,1,6,Right
647,S9,MI,1,7,Right
648,S9,MI,1,8,Right
649,S9,MI,1,9,Right
650,S9,MI,1,10,Left
651,S9,MI,2,1,Left
652,S9,MI,2,2,Right
653,S9,MI,2,3,Left
654,S9,MI,2,4,Right
655,S9,MI,2,5,Left
656,S9,MI,2,6,Right
657,S9,MI,2,7,Right
658,S9,MI,2,8,Right
659,S9,MI,2,9,Right
660,S9,MI,2,10,Right
661,S9,MI,3,1,Right
662,S9,MI,3,2,Left
663,S9,MI,3,3,Left
664,S9,MI,3,4,Right
665,S9,MI,3,5,Right
666,S9,MI,3,6,Left
667,S9,MI,3,7,Left
668,S9,MI,3,8,Right
669,S9,MI,3,9,Left
670,S9,MI,3,10,Left
671,S9,MI,4,1,Left
672,S9,MI,4,2,Left
673,S9,MI,4,3,Left
674,S9,MI,4,4,Left
675,S9,MI,4,5,Left
676,S9,MI,4,6,Right
677,S9,MI,4,7,Left
678,S9,MI,4,8,Right
679,S9,MI,4,9,Left
680,S9,MI,4,10,Left
681,S9,MI,5,1,Left
682,S9,MI,5,2,Right
683,S9,MI,5,3,Left
684,S9,MI,5,4,Right
685,S9,MI,5,5,Right
686,S9,MI,5,6,Left
687,S9,MI,5,7,Right
688,S9,MI,5,8,Right
689,S9,MI,5,9,Left
690,S9,MI,5,10,Right
691,S9,MI,6,1,Left
692,S9,MI,6,2,Right
693,S9,MI,6,3,Left
694,S9,MI,6,4,Left
695,S9,MI,6,5,Right
696,S9,MI,6,6,Right
697,S9,MI,6,7,Right
698,S9,MI,6,8,Right
699,S9,MI,6,9,Right
700,S9,MI,6,10,Left
701,S9,MI,7,1,Left
702,S9,MI,7,2,Right
703,S9,MI,7,3,Right
704,S9,MI,7,4,Left
705,S9,MI,7,5,Left
706,S9,MI,7,6,Left
707,S9,MI,7,7,Right
708,S9,MI,7,8,Left
709,S9,MI,7,9,Right
710,S9,MI,7,10,Right
711,S9,MI,8,1,Left
712,S9,MI,8,2,Right
713,S9,MI,8,3,Right
714,S9,MI,8,4,Left
715,S9,MI,8,5,Right
716,S9,MI,8,6,Left
717,S9,MI,8,7,Left
718,S9,MI,8,8,Right
719,S9,MI,8,9,Right
720,S9,MI,8,10,Right
721,S10,MI,1,1,Right
722,S10,MI,1,2,Left
723,S10,MI,1,3,Right
724,S10,MI,1,4,Right
725,S10,MI,1,5,Right
726,S10,MI,1,6,Left
727,S10,MI,1,7,Right
728,S10,MI,1,8,Left
729,S10,MI,1,9,Left
730,S10,MI,1,10,Left
731,S10,MI,2,1,Right
732,S10,MI,2,2,Right
733,S10,MI,2,3,Right
734,S10,MI,2,4,Left
735,S10,MI,2,5,Left
736,S10,MI,2,6,Left
737,S10,MI,2,7,Right
738,S10,MI,2,8,Left
739,S10,MI,2,9,Left
740,S10,MI,2,10,Right
741,S10,MI,3,1,Right
742,S10,MI,3,2,Left
743,S10,MI,3,3,Left
744,S10,MI,3,4,Right
745,S10,MI,3,5,Left
746,S10,MI,3,6,Right
747,S10,MI,3,7,Right
748,S10,MI,3,8,Left
749,S10,MI,3,9,Right
750,S10,MI,3,10,Left
751,S10,MI,4,1,Right
752,S10,MI,4,2,Left
753,S10,MI,4,3,Right
754,S10,MI,4,4,Left
755,S10,MI,4,5,Right
756,S10,MI,4,6,Right
757,S10,MI,4,7,Left
758,S10,MI,4,8,Right
759,S10,MI,4,9,Right
760,S10,MI,4,10,Left
761,S10,MI,5,1,Right
762,S10,MI,5,2,Right
763,S10,MI,5,3,Right
764,S10,MI,5,4,Right
765,S10,MI,5,5,Right
766,S10,MI,5,6,Left
767,S10,MI,5,7,Right
768,S10,MI,5,8,Right
769,S10,MI,5,9,Left
770,S10,MI,5,10,Right
771,S10,MI,6,1,Right
772,S10,MI,6,2,Left
773,S10,MI,6,3,Left
774,S10,MI,6,4,Left
775,S10,MI,6,5,Left
776,S10,MI,6,6,Left
777,S10,MI,6,7,Left
778,S10,MI,6,8,Right
779,S10,MI,6,9,Right
780,S10,MI,6,10,Right
781,S10,MI,7,1,Right
782,S10,MI,7,2,Left
783,S10,MI,7,3,Right
784,S10,MI,7,4,Left
785,S10,MI,7,5,Left
786,S10,MI,7,6,Right
787,S10,MI,7,7,Left
788,S10,MI,7,8,Left
789,S10,MI,7,9,Left
790,S10,MI,7,10,Left
791,S10,MI,8,1,Left
792,S10,MI,8,2,Left
793,S10,MI,8,3,Left
794,S10,MI,8,4,Left
795,S10,MI,8,5,Right
796,S10,MI,8,6,Left
797,S10,MI,8,7,Left
798,S10,MI,8,8,Right
799,S10,MI,8,9,Right
800,S10,MI,8,10,Right
801,S11,MI,1,1,Left
802,S11,MI,1,2,Left
803,S11,MI,1,3,Right
804,S11,MI,1,4,Left
805,S11,MI,1,5,Right
806,S11,MI,1,6,Right
807,S11,MI,1,7,Left
808,S11,MI,1,8,Right
809,S11,MI,1,9,Right
810,S11,MI,1,10,Left
811,S11,MI,2,1,Right
812,S11,MI,2,2,Right
813,S11,MI,2,3,Left
814,S11,MI,2,4,Left
815,S11,MI,2,5,Left
816,S11,MI,2,6,Left
817,S11,MI,2,7,Right
818,S11,MI,2,8,Right
819,S11,MI,2,9,Left
820,S11,MI,2,10,Right
821,S11,MI,3,1,Left
822,S11,MI,3,2,Right
823,S11,MI,3,3,Left
824,S11,MI,3,4,Right
825,S11,MI,3,5,Left
826,S11,MI,3,6,Right
827,S11,MI,3,7,Right
828,S11,MI,3,8,Right
829,S11,MI,3,9,Left
830,S11,MI,3,10,Right
831,S11,MI,4,1,Right
832,S11,MI,4,2,Left
833,S11,MI,4,3,Left
834,S11,MI,4,4,Left
835,S11,MI,4,5,Left
836,S11,MI,4,6,Left
837,S11,MI,4,7,Left
838,S11,MI,4,8,Right
839,S11,MI,4,9,Right
840,S11,MI,4,10,Left
841,S11,MI,5,1,Left
842,S11,MI,5,2,Left
843,S11,MI,5,3,Left
844,S11,MI,5,4,Right
845,S11,MI,5,5,Right
846,S11,MI,5,6,Left
847,S11,MI,5,7,Left
848,S11,MI,5,8,Left
849,S11,MI,5,9,Left
850,S11,MI,5,10,Left
851,S11,MI,6,1,Left
852,S11,MI,6,2,Right
853,S11,MI,6,3,Right
854,S11,MI,6,4,Right
855,S11,MI,6,5,Right
856,S11,MI,6,6,Right
857,S11,MI,6,7,Left
858,S11,MI,6,8,Left
859,S11,MI,6,9,Right
860,S11,MI,6,10,Right
861,S11,MI,7,1,Left
862,S11,MI,7,2,Left
863,S11,MI,7,3,Right
864,S11,MI,7,4,Left
865,S11,MI,7,5,Right
866,S11,MI,7,6,Left
867,S11,MI,7,7,Right
868,S11,MI,7,8,Left
869,S11,MI,7,9,Left
870,S11,MI,7,10,Right
871,S11,MI,8,1,Right
872,S11,MI,8,2,Right
873,S11,MI,8,3,Left
874,S11,MI,8,4,Right
875,S11,MI,8,5,Right
876,S11,MI,8,6,Left
877,S11,MI,8,7,Right
878,S11,MI,8,8,Left
879,S11,MI,8,9,Left
880,S11,MI,8,10,Left
881,S12,MI,1,1,Right
882,S12,MI,1,2,Left
883,S12,MI,1,3,Left
884,S12,MI,1,4,Right
885,S12,MI,1,5,Left
886,S12,MI,1,6,Left
887,S12,MI,1,7,Right
888,S12,MI,1,8,Right
889,S12,MI,1,9,Right
890,S12,MI,1,10,Right
891,S12,MI,2,1,Right
892,S12,MI,2,2,Right
893,S12,MI,2,3,Left
894,S12,MI,2,4,Right
895,S12,MI,2,5,Right
896,S12,MI,2,6,Left
897,S12,MI,2,7,Left
898,S12,MI,2,8,Left
899,S12,MI,2,9,Left
900,S12,MI,2,10,Left
901,S12,MI,3,1,Right
902,S12,MI,3,2,Left
903,S12,MI,3,3,Left
904,S12,MI,3,4,Left
905,S12,MI,3,5,Right
906,S12,MI,3,6,Left
907,S12,MI,3,7,Right
908,S12,MI,3,8,Right
909,S12,MI,3,9,Right
910,S12,MI,3,10,Right
911,S12,MI,4,1,Right
912,S12,MI,4,2,Right
913,S12,MI,4,3,Left
914,S12,MI,4,4,Right
915,S12,MI,4,5,Left
916,S12,MI,4,6,Right
917,S12,MI,4,7,Left
918,S12,MI,4,8,Left
919,S12,MI,4,9,Left
920,S12,MI,4,10,Right
921,S12,MI,5,1,Right
922,S12,MI,5,2,Right
923,S12,MI,5,3,Right
924,S12,MI,5,4,Right
925,S12,MI,5,5,Left
926,S12,MI,5,6,Right
927,S12,MI,5,7,Left
928,S12,MI,5,8,Right
929,S12,MI,5,9,Right
930,S12,MI,5,10,Left
